scenario,crim_pos,crim_strat,crim_bounded_rat,police_undercover,crim_max_diverge,pol_strat,pol_guarding,Police_entrance,units,P_multiple_at_station
326,centre,furthest,True,False,10,furthest,metro_platform,main,10,5
327,centre,furthest,True,False,10,furthest,metro_platform,side,3,5
328,centre,furthest,True,False,10,furthest,metro_platform,side,5,5
329,centre,furthest,True,False,10,furthest,metro_platform,side,10,5
330,centre,furthest,True,False,10,furthest,station_exit,main,3,5
331,centre,furthest,True,False,10,furthest,station_exit,main,5,5
332,centre,furthest,True,False,10,furthest,station_exit,main,10,5
333,centre,furthest,True,False,10,furthest,station_exit,side,3,5
334,centre,furthest,True,False,10,furthest,station_exit,side,5,5
335,centre,furthest,True,False,10,furthest,station_exit,side,10,5
336,centre,furthest,True,False,10,largest,metro_platform,main,3,5
337,centre,furthest,True,False,10,largest,metro_platform,main,5,5
338,centre,furthest,True,False,10,largest,metro_platform,main,10,5
339,centre,furthest,True,False,10,largest,metro_platform,side,3,5
340,centre,furthest,True,False,10,largest,metro_platform,side,5,5
341,centre,furthest,True,False,10,largest,metro_platform,side,10,5
342,centre,furthest,True,False,10,largest,station_exit,main,3,5
343,centre,furthest,True,False,10,largest,station_exit,main,5,5
344,centre,furthest,True,False,10,largest,station_exit,main,10,5
345,centre,furthest,True,False,10,largest,station_exit,side,3,5
346,centre,furthest,True,False,10,largest,station_exit,side,5,5
347,centre,furthest,True,False,10,largest,station_exit,side,10,5
348,centre,furthest,True,False,10,surround,metro_platform,main,3,5
349,centre,furthest,True,False,10,surround,metro_platform,main,5,5
350,centre,furthest,True,False,10,surround,metro_platform,main,10,5
351,centre,furthest,True,False,10,surround,metro_platform,side,3,5
352,centre,furthest,True,False,10,surround,metro_platform,side,5,5
353,centre,furthest,True,False,10,surround,metro_platform,side,10,5
354,centre,furthest,True,False,10,surround,station_exit,main,3,5
355,centre,furthest,True,False,10,surround,station_exit,main,5,5
356,centre,furthest,True,False,10,surround,station_exit,main,10,5
357,centre,furthest,True,False,10,surround,station_exit,side,3,5
358,centre,furthest,True,False,10,surround,station_exit,side,5,5
359,centre,furthest,True,False,10,surround,station_exit,side,10,5
360,centre,furthest,False,True,10,furthest,metro_platform,main,3,5
361,centre,furthest,False,True,10,furthest,metro_platform,main,5,5
362,centre,furthest,False,True,10,furthest,metro_platform,main,10,5
363,centre,furthest,False,True,10,furthest,metro_platform,side,3,5
364,centre,furthest,False,True,10,furthest,metro_platform,side,5,5
365,centre,furthest,False,True,10,furthest,metro_platform,side,10,5
366,centre,furthest,False,True,10,furthest,station_exit,main,3,5
367,centre,furthest,False,True,10,furthest,station_exit,main,5,5
368,centre,furthest,False,True,10,furthest,station_exit,main,10,5
369,centre,furthest,False,True,10,furthest,station_exit,side,3,5
370,centre,furthest,False,True,10,furthest,station_exit,side,5,5
371,centre,furthest,False,True,10,furthest,station_exit,side,10,5
372,centre,furthest,False,True,10,largest,metro_platform,main,3,5
373,centre,furthest,False,True,10,largest,metro_platform,main,5,5
374,centre,furthest,False,True,10,largest,metro_platform,main,10,5
375,centre,furthest,False,True,10,largest,metro_platform,side,3,5
376,centre,furthest,False,True,10,largest,metro_platform,side,5,5
377,centre,furthest,False,True,10,largest,metro_platform,side,10,5
378,centre,furthest,False,True,10,largest,station_exit,main,3,5
379,centre,furthest,False,True,10,largest,station_exit,main,5,5
380,centre,furthest,False,True,10,largest,station_exit,main,10,5
381,centre,furthest,False,True,10,largest,station_exit,side,3,5
382,centre,furthest,False,True,10,largest,station_exit,side,5,5
383,centre,furthest,False,True,10,largest,station_exit,side,10,5
384,centre,furthest,False,True,10,surround,metro_platform,main,3,5
385,centre,furthest,False,True,10,surround,metro_platform,main,5,5
386,centre,furthest,False,True,10,surround,metro_platform,main,10,5
387,centre,furthest,False,True,10,surround,metro_platform,side,3,5
388,centre,furthest,False,True,10,surround,metro_platform,side,5,5
389,centre,furthest,False,True,10,surround,metro_platform,side,10,5
390,centre,furthest,False,True,10,surround,station_exit,main,3,5
391,centre,furthest,False,True,10,surround,station_exit,main,5,5
392,centre,furthest,False,True,10,surround,station_exit,main,10,5
393,centre,furthest,False,True,10,surround,station_exit,side,3,5
394,centre,furthest,False,True,10,surround,station_exit,side,5,5
395,centre,furthest,False,True,10,surround,station_exit,side,10,5
396,centre,furthest,False,False,10,furthest,metro_platform,main,3,5
397,centre,furthest,False,False,10,furthest,metro_platform,main,5,5
398,centre,furthest,False,False,10,furthest,metro_platform,main,10,5
399,centre,furthest,False,False,10,furthest,metro_platform,side,3,5
400,centre,furthest,False,False,10,furthest,metro_platform,side,5,5
401,centre,furthest,False,False,10,furthest,metro_platform,side,10,5
402,centre,furthest,False,False,10,furthest,station_exit,main,3,5
403,centre,furthest,False,False,10,furthest,station_exit,main,5,5
404,centre,furthest,False,False,10,furthest,station_exit,main,10,5
405,centre,furthest,False,False,10,furthest,station_exit,side,3,5
406,centre,furthest,False,False,10,furthest,station_exit,side,5,5
407,centre,furthest,False,False,10,furthest,station_exit,side,10,5
408,centre,furthest,False,False,10,largest,metro_platform,main,3,5
409,centre,furthest,False,False,10,largest,metro_platform,main,5,5
410,centre,furthest,False,False,10,largest,metro_platform,main,10,5
411,centre,furthest,False,False,10,largest,metro_platform,side,3,5
412,centre,furthest,False,False,10,largest,metro_platform,side,5,5
413,centre,furthest,False,False,10,largest,metro_platform,side,10,5
414,centre,furthest,False,False,10,largest,station_exit,main,3,5
415,centre,furthest,False,False,10,largest,station_exit,main,5,5
416,centre,furthest,False,False,10,largest,station_exit,main,10,5
417,centre,furthest,False,False,10,largest,station_exit,side,3,5
418,centre,furthest,False,False,10,largest,station_exit,side,5,5
419,centre,furthest,False,False,10,largest,station_exit,side,10,5
420,centre,furthest,False,False,10,surround,metro_platform,main,3,5
421,centre,furthest,False,False,10,surround,metro_platform,main,5,5
422,centre,furthest,False,False,10,surround,metro_platform,main,10,5
423,centre,furthest,False,False,10,surround,metro_platform,side,3,5
424,centre,furthest,False,False,10,surround,metro_platform,side,5,5
425,centre,furthest,False,False,10,surround,metro_platform,side,10,5
426,centre,furthest,False,False,10,surround,station_exit,main,3,5
427,centre,furthest,False,False,10,surround,station_exit,main,5,5
428,centre,furthest,False,False,10,surround,station_exit,main,10,5
429,centre,furthest,False,False,10,surround,station_exit,side,3,5
430,centre,furthest,False,False,10,surround,station_exit,side,5,5
431,centre,furthest,False,False,10,surround,station_exit,side,10,5
432,end,random,True,True,10,furthest,metro_platform,main,3,5
433,end,random,True,True,10,furthest,metro_platform,main,5,5
434,end,random,True,True,10,furthest,metro_platform,main,10,5
435,end,random,True,True,10,furthest,metro_platform,side,3,5
436,end,random,True,True,10,furthest,metro_platform,side,5,5
437,end,random,True,True,10,furthest,metro_platform,side,10,5
438,end,random,True,True,10,furthest,station_exit,main,3,5
439,end,random,True,True,10,furthest,station_exit,main,5,5
440,end,random,True,True,10,furthest,station_exit,main,10,5
441,end,random,True,True,10,furthest,station_exit,side,3,5
442,end,random,True,True,10,furthest,station_exit,side,5,5
443,end,random,True,True,10,furthest,station_exit,side,10,5
444,end,random,True,True,10,largest,metro_platform,main,3,5
445,end,random,True,True,10,largest,metro_platform,main,5,5
446,end,random,True,True,10,largest,metro_platform,main,10,5
447,end,random,True,True,10,largest,metro_platform,side,3,5
448,end,random,True,True,10,largest,metro_platform,side,5,5
449,end,random,True,True,10,largest,metro_platform,side,10,5
450,end,random,True,True,10,largest,station_exit,main,3,5
451,end,random,True,True,10,largest,station_exit,main,5,5
452,end,random,True,True,10,largest,station_exit,main,10,5
453,end,random,True,True,10,largest,station_exit,side,3,5
454,end,random,True,True,10,largest,station_exit,side,5,5
455,end,random,True,True,10,largest,station_exit,side,10,5
456,end,random,True,True,10,surround,metro_platform,main,3,5
457,end,random,True,True,10,surround,metro_platform,main,5,5
458,end,random,True,True,10,surround,metro_platform,main,10,5
459,end,random,True,True,10,surround,metro_platform,side,3,5
460,end,random,True,True,10,surround,metro_platform,side,5,5
461,end,random,True,True,10,surround,metro_platform,side,10,5
462,end,random,True,True,10,surround,station_exit,main,3,5
463,end,random,True,True,10,surround,station_exit,main,5,5
464,end,random,True,True,10,surround,station_exit,main,10,5
465,end,random,True,True,10,surround,station_exit,side,3,5
466,end,random,True,True,10,surround,station_exit,side,5,5
